"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: cacheEntryOverhead","Param: cacheMB","Param: checksum","Param: valueSize"
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment","sample",1,717889,171.262823,1.673760,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,134.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,156.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,172.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,176.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,195.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,2932.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,11216.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,148480.000000,NaN,"ns/op",1024,1,none,50
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment","sample",1,653855,201.172323,23.583455,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,150.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,167.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,180.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,186.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,346.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,3916.576000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,11264.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p1.00","sample",1,1,3493888.000000,NaN,"ns/op",1024,1,none,1024
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment","sample",1,842384,267.946915,1.756563,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.00","sample",1,1,222.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.50","sample",1,1,240.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.90","sample",1,1,254.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.95","sample",1,1,259.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.99","sample",1,1,1544.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.999","sample",1,1,4024.000000,NaN,"ns/op",1024,1,none,4096
"com.evolvedbinary.jnibench.jmhbench.GetFFMBenchmarkJava25.getIntoMemorySegment:getIntoMemorySegment·p0.9999","sample",1,1,11504.000000,NaN,"ns/op",1024,1,none,4096
